iso3,feature,country_raw,series_code,frequency,nonnull_count,indicator,bop_accounting_entry,unit
RUS,bop_other_investment_loans_liabilities_usd,Russian Federation,RUS.L_NIL_T.O_F4.USD.Q,Quarterly,112,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
RUS,bop_portfolio_liabilities_usd,Russian Federation,RUS.L_NIL_T.P_F.USD.Q,Quarterly,127,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
RUS,bop_workers_remittances_credit_usd,Russian Federation,RUS.CD_T.D752W_S1W.USD.Q,Quarterly,84,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
ZMB,bop_current_account_balance_usd,Zambia,ZMB.NETCD_T.CAB.USD.Q,Quarterly,83,Current account balance (credit less debit),Net (credits less debits),US dollar
RUS,bop_fdi_liabilities_usd,Russian Federation,RUS.L_NIL_T.D_F.USD.Q,Quarterly,127,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
JOR,bop_current_account_balance_usd,Jordan,JOR.NETCD_T.CAB.USD.Q,Quarterly,193,Current account balance (credit less debit),Net (credits less debits),US dollar
JOR,bop_portfolio_liabilities_usd,Jordan,JOR.L_NIL_T.P_F.USD.Q,Quarterly,182,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
JOR,bop_workers_remittances_credit_usd,Jordan,JOR.CD_T.D752W_S1W.USD.Q,Quarterly,193,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
RUS,bop_current_account_balance_usd,Russian Federation,RUS.NETCD_T.CAB.USD.Q,Quarterly,127,Current account balance (credit less debit),Net (credits less debits),US dollar
ECU,bop_current_account_balance_usd,Ecuador,ECU.NETCD_T.CAB.USD.Q,Quarterly,131,Current account balance (credit less debit),Net (credits less debits),US dollar
ECU,bop_fdi_liabilities_usd,Ecuador,ECU.L_NIL_T.D_F.USD.Q,Quarterly,131,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
ECU,bop_portfolio_liabilities_usd,Ecuador,ECU.L_NIL_T.P_F.USD.Q,Quarterly,131,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
ECU,bop_reserve_assets_usd,Ecuador,ECU.A_T.R_AFR.USD.Q,Quarterly,131,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
ECU,bop_workers_remittances_credit_usd,Ecuador,ECU.CD_T.D752W_S1W.USD.Q,Quarterly,131,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
ECU,bop_other_investment_loans_liabilities_usd,Ecuador,ECU.L_NIL_T.O_F4.USD.Q,Quarterly,131,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
TUN,bop_reserve_assets_usd,Tunisia,TUN.A_T.R_AFR.USD.Q,Quarterly,28,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
TUN,bop_other_investment_loans_liabilities_usd,Tunisia,TUN.L_NIL_T.O_F4.USD.Q,Quarterly,28,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
TUN,bop_portfolio_liabilities_usd,Tunisia,TUN.L_NIL_T.P_F.USD.Q,Quarterly,28,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
TUN,bop_workers_remittances_credit_usd,Tunisia,TUN.CD_T.D752W_S1W.USD.Q,Quarterly,28,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
TUN,bop_fdi_liabilities_usd,Tunisia,TUN.L_NIL_T.D_F.USD.Q,Quarterly,28,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
TUN,bop_current_account_balance_usd,Tunisia,TUN.NETCD_T.CAB.USD.Q,Quarterly,28,Current account balance (credit less debit),Net (credits less debits),US dollar
IDN,bop_reserve_assets_usd,Indonesia,IDN.A_T.R_AFR.USD.Q,Quarterly,180,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
IDN,bop_workers_remittances_credit_usd,Indonesia,IDN.CD_T.D752W_S1W.USD.Q,Quarterly,180,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
IDN,bop_fdi_liabilities_usd,Indonesia,IDN.L_NIL_T.D_F.USD.Q,Quarterly,180,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
PAK,bop_fdi_liabilities_usd,Pakistan,PAK.L_NIL_T.D_F.USD.Q,Quarterly,200,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
