iso3,year_month,bop_current_account_balance_usd,bop_fdi_liabilities_usd,bop_other_investment_loans_liabilities_usd,bop_portfolio_liabilities_usd,bop_reserve_assets_usd,bop_workers_remittances_credit_usd,bop_total_liability_inflows_usd,bop_current_account_balance_usd_3m_change,bop_reserve_assets_usd_3m_change,bop_total_liability_inflows_usd_3m_change,bop_reserve_assets_3m_pct_change
ROU,2011-11-01,-1800.832970721701,1154.969851432834,137.6888170572512,-1156.523901286753,-907.0256256599704,873.6868278734382,136.13476720333225,460.37517502567493,978.6997745300806,444.0891492481759,-51.90043971574245
ROU,2011-12-01,-1800.832970721701,1154.969851432834,137.6888170572512,-1156.523901286753,-907.0256256599704,873.6868278734382,136.13476720333225,460.37517502567493,978.6997745300806,444.0891492481759,-51.90043971574245
ROU,2012-01-01,-1520.047394792598,504.8750363996024,-341.9052304973441,3234.995832873109,2363.837470992582,590.7278916346183,3397.965638775367,280.78557592910306,3270.8630966525525,3261.830871572035,-360.6141881903949
ROU,2012-02-01,-1520.047394792598,504.8750363996024,-341.9052304973441,3234.995832873109,2363.837470992582,590.7278916346183,3397.965638775367,280.78557592910306,3270.8630966525525,3261.830871572035,-360.6141881903949
ROU,2012-03-01,-1520.047394792598,504.8750363996024,-341.9052304973441,3234.995832873109,2363.837470992582,590.7278916346183,3397.965638775367,280.78557592910306,3270.8630966525525,3261.830871572035,-360.6141881903949
ROU,2012-04-01,-2890.277831446347,486.3016345299278,175.0454036091039,-1442.675528420727,-2644.075546885478,737.2773291085437,-781.3284902816953,-1370.2304366537492,-5007.91301787806,-4179.2941290570625,-211.8552175998472
ROU,2012-05-01,-2890.277831446347,486.3016345299278,175.0454036091039,-1442.675528420727,-2644.075546885478,737.2773291085437,-781.3284902816953,-1370.2304366537492,-5007.91301787806,-4179.2941290570625,-211.8552175998472
ROU,2012-06-01,-2890.277831446347,486.3016345299278,175.0454036091039,-1442.675528420727,-2644.075546885478,737.2773291085437,-781.3284902816953,-1370.2304366537492,-5007.91301787806,-4179.2941290570625,-211.8552175998472
ROU,2012-07-01,-2257.969303423849,1140.88326446281,-845.6316410861865,478.1582054309327,-298.8301239227495,663.8319067296339,773.4098288075562,632.3085280224982,2345.2454229627288,1554.7383190892515,-88.69812459501209
ROU,2012-08-01,-2257.969303423849,1140.88326446281,-845.6316410861865,478.1582054309327,-298.8301239227495,663.8319067296339,773.4098288075562,632.3085280224982,2345.2454229627288,1554.7383190892515,-88.69812459501209
